Serial Number:20268771 --

"Date Time, GMT -0500","Temp, (*C) - 1","Temp, (*C) - 2","Button Down","Host Connect","EOF"
2017-12-13 10:03:43,0.60,-0.00, , , 
2017-12-13 10:23:43,0.60,-0.00, , , 
2017-12-13 10:43:43,0.60,0.08, , , 
2017-12-13 11:03:43,0.60,0.04, , , 
2017-12-13 11:23:43,0.55,0.04, , , 
2017-12-13 11:43:43,0.55,0.04, , , 
2017-12-13 12:03:43,0.55,-0.00, , , 
2017-12-13 12:23:43,0.60,0.04, , , 
2017-12-13 12:43:43,0.60,-0.00, , , 
2017-12-13 13:03:43,0.60,-0.05, , , 
2017-12-13 13:23:43,0.55,0.04, , , 
2017-12-13 13:43:43,0.55,-0.00, , , 
2017-12-13 14:03:43,0.60,0.04, , , 
2017-12-13 14:23:43,0.55,0.04, , , 
2017-12-13 14:43:43,0.55,0.04, , , 
2017-12-13 15:03:43,0.60,0.04, , , 
2017-12-13 15:23:43,0.51,-0.00, , , 
2017-12-13 15:43:43,0.60,-0.00, , , 
2017-12-13 16:03:43,0.55,-0.00, , , 
2017-12-13 16:23:43,0.55,-0.00, , , 
2017-12-13 16:43:43,0.55,0.04, , , 
2017-12-13 17:03:43,0.60,-0.00, , , 
2017-12-13 17:23:43,0.55,-0.00, , , 
2017-12-13 17:43:43,0.55,-0.00, , , 
2017-12-13 18:03:43,0.55,0.04, , , 
2017-12-13 18:23:43,0.60,0.04, , , 
2017-12-13 18:43:43,0.55,0.08, , , 
2017-12-13 19:03:43,0.60,-0.00, , , 
2017-12-13 19:23:43,0.60,0.04, , , 
2017-12-13 19:43:43,0.60,0.04, , , 
2017-12-13 20:03:43,0.60,0.04, , , 
2017-12-13 20:23:43,0.51,0.04, , , 
2017-12-13 20:43:43,0.55,0.08, , , 
2017-12-13 21:03:43,0.60,-0.00, , , 
2017-12-13 21:23:43,0.60,0.08, , , 
2017-12-13 21:43:43,0.55,0.04, , , 
2017-12-13 22:03:43,0.60,0.04, , , 
2017-12-13 22:23:43,0.55,-0.00, , , 
2017-12-13 22:43:43,0.60,-0.00, , , 
2017-12-13 23:03:43,0.55,0.04, , , 
2017-12-13 23:23:43,0.55,0.04, , , 
2017-12-13 23:43:43,0.55,0.04, , , 
2017-12-14 00:03:43,0.60,0.04, , , 
2017-12-14 00:23:43,0.55,0.04, , , 
2017-12-14 00:43:43,0.55,0.04, , , 
2017-12-14 01:03:43,0.60,0.04, , , 
2017-12-14 01:23:43,0.60,0.04, , , 
2017-12-14 01:43:43,0.55,0.04, , , 
2017-12-14 02:03:43,0.60,0.08, , , 
2017-12-14 02:23:43,0.55,-0.00, , , 
2017-12-14 02:43:43,0.60,-0.00, , , 
2017-12-14 03:03:43,0.60,0.04, , , 
2017-12-14 03:23:43,0.60,0.08, , , 
2017-12-14 03:43:43,0.60,0.04, , , 
2017-12-14 04:03:43,0.55,0.08, , , 
2017-12-14 04:23:43,0.55,-0.00, , , 
2017-12-14 04:43:43,0.55,0.04, , , 
2017-12-14 05:03:43,0.55,0.04, , , 
2017-12-14 05:23:43,0.60,0.04, , , 
2017-12-14 05:43:43,0.55,-0.00, , , 
2017-12-14 06:03:43,0.55,-0.00, , , 
2017-12-14 06:23:43,0.55,0.04, , , 
2017-12-14 06:43:43,0.55,0.04, , , 
2017-12-14 07:03:43,0.60,0.04, , , 
2017-12-14 07:23:43,0.55,0.04, , , 
2017-12-14 07:43:43,0.55,0.04, , , 
2017-12-14 08:03:43,0.55,0.04, , , 
2017-12-14 08:23:43,0.55,0.04, , , 
2017-12-14 08:43:43,0.55,-0.00, , , 
2017-12-14 09:03:43,0.55,-0.00, , , 
2017-12-14 09:23:43,0.60,0.04, , , 
2017-12-14 09:43:43,0.60,0.04, , , 
2017-12-14 10:03:43,0.55,0.04, , , 
2017-12-14 10:23:43,0.60,-0.00, , , 
2017-12-14 10:43:43,0.51,0.04, , , 
2017-12-14 11:03:43,0.55,-0.00, , , 
2017-12-14 11:23:43,0.55,0.04, , , 
2017-12-14 11:43:43,0.55,-0.00, , , 
2017-12-14 12:03:43,0.60,0.04, , , 
2017-12-14 12:23:43,0.60,0.04, , , 
2017-12-14 12:43:43,0.55,0.08, , , 
2017-12-14 13:03:43,0.55,0.04, , , 
2017-12-14 13:23:43,0.60,0.04, , , 
2017-12-14 13:43:43,0.60,0.04, , , 
2017-12-14 14:03:43,0.55,-0.00, , , 
2017-12-14 14:23:43,0.55,0.04, , , 
2017-12-14 14:43:43,0.60,-0.00, , , 
2017-12-14 15:03:43,0.55,0.04, , , 
2017-12-14 15:23:43,0.55,0.04, , , 
2017-12-14 15:43:43,0.55,0.04, , , 
2017-12-14 16:03:43,0.60,-0.00, , , 
2017-12-14 16:23:43,0.55,-0.00, , , 
2017-12-14 16:43:43,0.55,0.04, , , 
2017-12-14 17:03:43,0.60,0.04, , , 
2017-12-14 17:23:43,0.55,0.04, , , 
2017-12-14 17:43:43,0.55,0.04, , , 
2017-12-14 18:03:43,0.55,0.08, , , 
2017-12-14 18:23:43,0.55,-0.00, , , 
2017-12-14 18:43:43,0.55,-0.00, , , 
2017-12-14 19:03:43,0.60,-0.00, , , 
2017-12-14 19:23:43,0.55,0.04, , , 
2017-12-14 19:43:43,0.55,-0.00, , , 
2017-12-14 20:03:43,0.55,0.08, , , 
2017-12-14 20:23:43,0.60,-0.00, , , 
2017-12-14 20:43:43,0.55,0.08, , , 
2017-12-14 21:03:43,0.60,0.04, , , 
2017-12-14 21:23:43,0.60,-0.00, , , 
2017-12-14 21:43:43,0.55,0.04, , , 
2017-12-14 22:03:43,0.60,-0.00, , , 
2017-12-14 22:23:43,0.60,-0.00, , , 
2017-12-14 22:43:43,0.60,-0.00, , , 
2017-12-14 23:03:43,0.55,0.04, , , 
2017-12-14 23:23:43,0.60,-0.00, , , 
2017-12-14 23:43:43,0.55,-0.00, , , 
2017-12-15 00:03:43,0.55,-0.00, , , 
2017-12-15 00:23:43,0.51,0.04, , , 
2017-12-15 00:43:43,0.55,-0.00, , , 
2017-12-15 01:03:43,0.60,-0.00, , , 
2017-12-15 01:23:43,0.60,-0.05, , , 
2017-12-15 01:43:43,0.60,-0.00, , , 
2017-12-15 02:03:43,0.55,0.04, , , 
2017-12-15 02:23:43,0.55,0.04, , , 
2017-12-15 02:43:43,0.60,0.04, , , 
2017-12-15 03:03:43,0.55,-0.00, , , 
2017-12-15 03:23:43,0.55,-0.00, , , 
2017-12-15 03:43:43,0.55,0.04, , , 
2017-12-15 04:03:43,0.55,-0.00, , , 
2017-12-15 04:23:43,0.55,-0.00, , , 
2017-12-15 04:43:43,0.55,-0.00, , , 
2017-12-15 05:03:43,0.55,0.04, , , 
2017-12-15 05:23:43,0.55,-0.00, , , 
2017-12-15 05:43:43,0.60,-0.00, , , 
2017-12-15 06:03:43,0.55,0.04, , , 
2017-12-15 06:23:43,0.60,-0.00, , , 
2017-12-15 06:43:43,0.55,-0.00, , , 
2017-12-15 07:03:43,0.55,-0.00, , , 
2017-12-15 07:23:43,0.55,-0.00, , , 
2017-12-15 07:43:43,0.55,-0.00, , , 
2017-12-15 08:03:43,0.55,-0.00, , , 
2017-12-15 08:23:43,0.55,-0.00, , , 
2017-12-15 08:43:43,0.55,-0.00, , , 
2017-12-15 09:03:43,0.55,-0.00, , , 
2017-12-15 09:23:43,0.55,-0.00, , , 
2017-12-15 09:43:43,0.55,-0.05, , , 
2017-12-15 10:03:43,0.55,-0.00, , , 
2017-12-15 10:23:43,0.55,-0.00, , , 
2017-12-15 10:43:43,0.55,-0.00, , , 
2017-12-15 11:03:43,0.55,-0.00, , , 
2017-12-15 11:23:43,0.60,-0.05, , , 
2017-12-15 11:43:43,0.55,-0.00, , , 
2017-12-15 12:03:43,0.55,0.04, , , 
2017-12-15 12:23:43,0.55,-0.00, , , 
2017-12-15 12:43:43,0.55,-0.00, , , 
2017-12-15 13:03:43,0.55,-0.00, , , 
2017-12-15 13:23:43,0.55,-0.00, , , 
2017-12-15 13:43:43,0.55,-0.00, , , 
2017-12-15 14:03:43,0.55,-0.00, , , 
2017-12-15 14:23:43,0.60,-0.00, , , 
2017-12-15 14:43:43,0.51,-0.00, , , 
2017-12-15 15:03:43,0.55,-0.00, , , 
2017-12-15 15:23:43,0.60,0.04, , , 
2017-12-15 15:43:43,0.51,-0.05, , , 
2017-12-15 16:03:43,0.55,0.04, , , 
2017-12-15 16:23:43,0.55,-0.00, , , 
2017-12-15 16:43:43,0.55,0.04, , , 
2017-12-15 17:03:43,0.55,0.04, , , 
2017-12-15 17:23:43,0.55,-0.00, , , 
2017-12-15 17:43:43,0.51,-0.00, , , 
2017-12-15 18:03:43,0.51,-0.00, , , 
2017-12-15 18:23:43,0.55,-0.00, , , 
2017-12-15 18:43:43,0.51,-0.00, , , 
2017-12-15 19:03:43,0.55,0.04, , , 
2017-12-15 19:23:43,0.55,-0.05, , , 
2017-12-15 19:43:43,0.55,0.04, , , 
2017-12-15 20:03:43,0.51,-0.05, , , 
2017-12-15 20:23:43,0.55,-0.00, , , 
2017-12-15 20:43:43,0.51,-0.00, , , 
2017-12-15 21:03:43,0.55,-0.00, , , 
2017-12-15 21:23:43,0.55,-0.00, , , 
2017-12-15 21:43:43,0.51,0.04, , , 
2017-12-15 22:03:43,0.55,-0.00, , , 
2017-12-15 22:23:43,0.60,0.04, , , 
2017-12-15 22:43:43,0.55,-0.00, , , 
2017-12-15 23:03:43,0.51,-0.00, , , 
2017-12-15 23:23:43,0.55,-0.00, , , 
2017-12-15 23:43:43,0.51,-0.05, , , 
2017-12-16 00:03:43,0.55,-0.00, , , 
2017-12-16 00:23:43,0.51,-0.00, , , 
2017-12-16 00:43:43,0.51,-0.00, , , 
2017-12-16 01:03:43,0.55,-0.00, , , 
2017-12-16 01:23:43,0.55,-0.00, , , 
2017-12-16 01:43:43,0.51,0.04, , , 
2017-12-16 02:03:43,0.60,-0.00, , , 
2017-12-16 02:23:43,0.55,-0.00, , , 
2017-12-16 02:43:43,0.51,0.04, , , 
2017-12-16 03:03:43,0.55,-0.00, , , 
2017-12-16 03:23:43,0.55,-0.00, , , 
2017-12-16 03:43:43,0.55,0.04, , , 
2017-12-16 04:03:43,0.51,-0.00, , , 
2017-12-16 04:23:43,0.51,-0.05, , , 
2017-12-16 04:43:43,0.55,-0.00, , , 
2017-12-16 05:03:43,0.55,-0.00, , , 
2017-12-16 05:23:43,0.55,-0.00, , , 
2017-12-16 05:43:43,0.55,-0.00, , , 
2017-12-16 06:03:43,0.55,0.04, , , 
2017-12-16 06:23:43,0.60,0.04, , , 
2017-12-16 06:43:43,0.55,0.04, , , 
2017-12-16 07:03:43,0.60,-0.00, , , 
2017-12-16 07:23:43,0.51,-0.05, , , 
2017-12-16 07:43:43,0.60,-0.00, , , 
2017-12-16 08:03:43,0.55,-0.05, , , 
2017-12-16 08:23:43,0.51,-0.00, , , 
2017-12-16 08:43:43,0.55,0.04, , , 
2017-12-16 09:03:43,0.51,-0.00, , , 
2017-12-16 09:23:43,0.51,-0.05, , , 
2017-12-16 09:43:43,0.55,-0.00, , , 
2017-12-16 10:03:43,0.55,-0.00, , , 
2017-12-16 10:23:43,0.55,0.04, , , 
2017-12-16 10:43:43,0.55,-0.00, , , 
2017-12-16 11:03:43,0.55,-0.00, , , 
2017-12-16 11:23:43,0.55,-0.00, , , 
2017-12-16 11:43:43,0.55,-0.00, , , 
2017-12-16 12:03:43,0.55,0.04, , , 
2017-12-16 12:23:43,0.55,-0.00, , , 
2017-12-16 12:43:43,0.51,0.04, , , 
2017-12-16 13:03:43,0.51,-0.00, , , 
2017-12-16 13:23:43,0.51,-0.05, , , 
2017-12-16 13:43:43,0.55,-0.00, , , 
2017-12-16 14:03:43,0.51,-0.00, , , 
2017-12-16 14:23:43,0.55,-0.00, , , 
2017-12-16 14:43:43,0.55,0.04, , , 
2017-12-16 15:03:43,0.51,-0.00, , , 
2017-12-16 15:23:43,0.55,-0.00, , , 
2017-12-16 15:43:43,0.51,-0.00, , , 
2017-12-16 16:03:43,0.55,0.04, , , 
2017-12-16 16:23:43,0.51,-0.00, , , 
2017-12-16 16:43:43,0.51,-0.05, , , 
2017-12-16 17:03:43,0.55,0.04, , , 
2017-12-16 17:23:43,0.51,-0.00, , , 
2017-12-16 17:43:43,0.55,0.04, , , 
2017-12-16 18:03:43,0.55,0.04, , , 
